c Grafo convertido do formato !K7,3
c Grau máximo: 4 (4-regular)
c Chi-equilibrado: 3
p edge 35 70
e 1 32
e 1 33
e 1 34
e 1 35
e 2 29
e 2 30
e 2 31
e 2 35
e 3 27
e 3 28
e 3 31
e 3 34
e 4 26
e 4 28
e 4 30
e 4 33
e 5 26
e 5 27
e 5 29
e 5 32
e 6 23
e 6 24
e 6 25
e 6 35
e 7 21
e 7 22
e 7 25
e 7 34
e 8 20
e 8 22
e 8 24
e 8 33
e 9 20
e 9 21
e 9 23
e 9 32
e 10 18
e 10 19
e 10 25
e 10 31
e 11 17
e 11 19
e 11 24
e 11 30
e 12 17
e 12 18
e 12 23
e 12 29
e 13 16
e 13 19
e 13 22
e 13 28
e 14 16
e 14 18
e 14 21
e 14 27
e 15 16
e 15 17
e 15 20
e 15 26
e 16 35
e 17 34
e 18 33
e 19 32
e 20 31
e 21 30
e 22 29
e 23 28
e 24 27
e 25 26
